               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.032791,            0.010503,                   0,             0.56307,             0.47259,             0.44421,             0.24127,            0.046227,           0.0091357,                   0,           0.0095347,           0.0095347,           0.0095347
                 143,            0.033212,           0.0094739,                   0,             0.58931,             0.41667,             0.45866,             0.24611,            0.047024,            0.009948,                   0,           0.0095314,           0.0095314,           0.0095314
                 144,            0.031736,            0.011934,                   0,             0.73127,             0.49891,             0.51265,             0.24387,            0.047825,           0.0095127,                   0,           0.0095281,           0.0095281,           0.0095281
                 145,            0.034379,            0.011449,                   0,             0.84517,             0.51667,              0.5266,             0.23249,            0.049072,            0.009088,                   0,           0.0095248,           0.0095248,           0.0095248
                 146,            0.032501,            0.010737,                   0,             0.68687,             0.47538,             0.45232,             0.21826,            0.050947,           0.0093036,                   0,           0.0095215,           0.0095215,           0.0095215
                 147,             0.03308,            0.010756,                   0,             0.76127,                 0.4,             0.45359,             0.22875,             0.05107,           0.0097017,                   0,           0.0095182,           0.0095182,           0.0095182
                 148,            0.034818,            0.011067,                   0,             0.69307,                 0.5,             0.51233,             0.27883,            0.047554,           0.0090961,                   0,           0.0095149,           0.0095149,           0.0095149
                 149,             0.03337,           0.0091608,                   0,             0.73582,                0.45,             0.49265,             0.25956,            0.048232,           0.0096855,                   0,           0.0095116,           0.0095116,           0.0095116
                 150,            0.031535,            0.010091,                   0,             0.67544,             0.51667,             0.52303,             0.27062,            0.047482,           0.0093455,                   0,           0.0095083,           0.0095083,           0.0095083
                 151,            0.030758,            0.010803,                   0,             0.63836,             0.50013,             0.54248,             0.29292,            0.046025,           0.0088029,                   0,            0.009505,            0.009505,            0.009505
                 152,            0.033181,            0.010484,                   0,             0.71655,             0.50567,             0.55798,             0.30534,            0.046503,           0.0083675,                   0,           0.0095017,           0.0095017,           0.0095017
                 153,            0.030612,            0.011226,                   0,             0.77654,             0.52134,             0.56877,             0.30127,            0.046887,           0.0083051,                   0,           0.0094984,           0.0094984,           0.0094984
                 154,            0.031278,           0.0098856,                   0,             0.58883,                0.55,             0.50912,             0.26556,             0.04928,            0.008554,                   0,           0.0094951,           0.0094951,           0.0094951
                 155,            0.032814,           0.0098839,                   0,             0.61157,             0.51667,             0.50684,             0.28665,            0.047296,           0.0084429,                   0,           0.0094918,           0.0094918,           0.0094918
                 156,            0.031923,            0.010534,                   0,             0.66788,             0.50279,             0.52095,             0.28227,            0.047465,           0.0086503,                   0,           0.0094885,           0.0094885,           0.0094885
                 157,            0.033419,           0.0097035,                   0,             0.56864,             0.48333,              0.4499,              0.2604,            0.048581,           0.0093517,                   0,           0.0094852,           0.0094852,           0.0094852
                 158,            0.033191,            0.012709,                   0,              0.5509,             0.26667,             0.26047,             0.11289,            0.056422,            0.011579,                   0,           0.0094819,           0.0094819,           0.0094819
                 159,             0.03086,            0.010515,                   0,             0.65023,             0.34095,             0.40429,             0.22227,            0.050443,            0.010038,                   0,           0.0094786,           0.0094786,           0.0094786
                 160,            0.033938,            0.010818,                   0,              0.7267,                0.45,             0.45908,              0.2284,            0.047454,           0.0093551,                   0,           0.0094753,           0.0094753,           0.0094753
                 161,            0.031223,            0.010121,                   0,             0.55971,             0.21667,             0.24662,             0.11405,            0.055251,            0.011912,                   0,            0.009472,            0.009472,            0.009472
                 162,            0.033008,             0.01192,                   0,             0.61282,             0.50124,              0.4966,             0.25833,            0.049395,           0.0091712,                   0,           0.0094687,           0.0094687,           0.0094687
                 163,            0.030199,             0.01163,                   0,             0.68842,             0.36667,             0.42875,             0.22032,            0.052279,           0.0099306,                   0,           0.0094654,           0.0094654,           0.0094654
